id;nombre;detalle;ubicacion
1;architectures en;../fake-data/blob/hipster.txt;solid Marroquinería Cine
2;Avon móbil Salida;../fake-data/blob/hipster.txt;generate Bricolaje
3;dot-com;../fake-data/blob/hipster.txt;Funcionario Granito Realineado
4;Parafarmacia Acero;../fake-data/blob/hipster.txt;CFA Sabroso
5;synthesizing;../fake-data/blob/hipster.txt;de
6;bidireccional Genérico Loan;../fake-data/blob/hipster.txt;Aplicaciones Checking Pound
7;Producto;../fake-data/blob/hipster.txt;Asociado bypassing
8;card SDD deliver;../fake-data/blob/hipster.txt;Genérico Pizza haptic
9;Gerente Interacciones Argentine;../fake-data/blob/hipster.txt;hacking Electrónica León
10;Morado;../fake-data/blob/hipster.txt;Verde Bedfordshire haptic
