id;codigo;detalle;fecha_registro
1;valor array soluciones;../fake-data/blob/hipster.txt;2022-08-06
2;Deportes;../fake-data/blob/hipster.txt;2022-08-06
3;Negro;../fake-data/blob/hipster.txt;2022-08-06
4;innovative Papelería digital;../fake-data/blob/hipster.txt;2022-08-07
5;cross-platform Global;../fake-data/blob/hipster.txt;2022-08-07
6;Verde Productor;../fake-data/blob/hipster.txt;2022-08-06
7;Avon;../fake-data/blob/hipster.txt;2022-08-06
8;SDD Seguridada;../fake-data/blob/hipster.txt;2022-08-06
9;schemas;../fake-data/blob/hipster.txt;2022-08-06
10;Ergonómico payment interactive;../fake-data/blob/hipster.txt;2022-08-06
