id;nombre;descripcion;estado;fecha_registro
1;Algodón Madera enhance;../fake-data/blob/hipster.txt;45671;2022-08-07T00:44:11
2;indexing functionalities;../fake-data/blob/hipster.txt;66670;2022-08-06T13:05:21
3;Madera Gorro Borders;../fake-data/blob/hipster.txt;24394;2022-08-06T06:39:50
4;haptic Gerente;../fake-data/blob/hipster.txt;47152;2022-08-06T02:53:10
5;Regional;../fake-data/blob/hipster.txt;48602;2022-08-06T15:10:42
6;compressing Krona;../fake-data/blob/hipster.txt;89649;2022-08-06T19:55:34
7;Apartamento Canada embrace;../fake-data/blob/hipster.txt;87116;2022-08-06T11:38:43
8;Azul Pantalones;../fake-data/blob/hipster.txt;79187;2022-08-06T17:33:45
9;Negro Pequeño;../fake-data/blob/hipster.txt;24153;2022-08-06T05:21:44
10;East Auto deposit;../fake-data/blob/hipster.txt;58627;2022-08-06T14:22:00
