id;nit;regimen;prefijo_fe;prefijo_pos;prefijo_nom;resolucion_pos;prefijo_pos_inicial;prefijo_pos_final;resolucion_fac_elec;prefijo_fac_elec_inicial;prefijo_fac_elec_final;resolucion_nom_elec;prefijo_nom_elec_inicial;prefijo_nom_elec_final;estado;fecha_registro
1;Joyería utilize;Ergonómico;parsing Metal JBOD;EXE;Morado Decoración;killer Jefe;4551;40786;calculating;4204;64969;Andalucía Mónaco;81112;50035;26718;2022-08-06T22:14:14
2;grow enterprise;Ingeniero Negro Credit;up;a;Granito Joyería;SQL;70474;18820;orchestrate schemas robust;78005;14224;de;15862;71006;82339;2022-08-06T08:26:22
3;Increible;navigate Hecho Métricas;optimize;Glorieta Refinado system;Montenegro Account Fantástico;intranet;94093;292;Credit;35117;28383;Camiseta;68814;20122;12167;2022-08-06T10:44:57
4;transicional Algodón brand;Azul;navigate payment;reboot seize Morado;línea extranet Hormigon;Acero Investment Berkshire;70265;65973;Buckinghamshire card technologies;53655;40812;convergence Azul Peso;67601;64330;16268;2022-08-07T00:49:53
5;Comunicaciones Baleares deposit;Distrito e-business Facilitador;Gris a;Diseñador cero;Desarrollador magnetic;calculating 1080p;83487;47608;Desarrollador Account;42034;97488;Gerente;65557;25097;32751;2022-08-06T12:34:45
6;Senegal Artesanal;backing Asistente connect;Increible;Metal HTTP Aragón;Hryvnia;open-source;44936;37366;Vasco matrix Algodón;18573;76296;Money Ladrillo;46620;17613;90660;2022-08-06T04:20:10
7;Facilitador Director Patatas;wireless;auxiliary Hogar;Gorro web-readiness Madera;Calle quantify;auxiliary copy Money;76660;95819;visualize reboot;85583;70561;Madera Mónaco;57694;30407;35298;2022-08-06T03:54:22
8;Guilder Interno Lilangeni;Buckinghamshire;Digitalizado Blanco;objetos Escalinata;driver deposit Gabón;ADP Extremadura;41779;66539;Galicia Principado Avenida;85920;7417;División Money Metal;88041;78026;13585;2022-08-06T22:49:51
9;Bacon;Tanzania Acero Cambridgeshire;Home eyeballs;e-business collaborative;Buckinghamshire;distributed;62624;18797;JBOD EXE;34068;87306;Camino;86232;83781;87669;2022-08-06T06:33:24
10;Torrente;Refinado Organizado New;revolutionary;Fantástico;vortals cutting-edge;interfaces;4996;58215;Guapa THX Bicicleta;96067;55633;alarm;79130;12186;6461;2022-08-06T21:15:14
