id;nombre;detalle;ubicacion
1;Buckinghamshire;../fake-data/blob/hipster.txt;one-to-one Algodón Futuro
2;Parque bypass;../fake-data/blob/hipster.txt;end-to-end digital
3;Metal Silla;../fake-data/blob/hipster.txt;Futuro Ladrillo navigate
4;Mascotas;../fake-data/blob/hipster.txt;models
5;Yemen;../fake-data/blob/hipster.txt;Tenge Mascotas
6;incremental Guantes;../fake-data/blob/hipster.txt;transparent empresa plug-and-play
7;online systems Centralizado;../fake-data/blob/hipster.txt;País
8;relationships;../fake-data/blob/hipster.txt;Moda compress Gerente
9;Desarrollador;../fake-data/blob/hipster.txt;Especialista
10;Salida THX Baleares;../fake-data/blob/hipster.txt;Azul Blanco Borders
