id;nombre;detalle;iva;foto;foto_content_type;fecha_registro
1;actitud;../fake-data/blob/hipster.txt;Dinánmico;../fake-data/blob/hipster.png;image/png;2022-08-06
2;Blanco;../fake-data/blob/hipster.txt;Dinánmico Inteligente Borders;../fake-data/blob/hipster.png;image/png;2022-08-06
3;Checking;../fake-data/blob/hipster.txt;open-source Práctico deposit;../fake-data/blob/hipster.png;image/png;2022-08-06
4;Buckinghamshire a Gorro;../fake-data/blob/hipster.txt;Zapatos Datos;../fake-data/blob/hipster.png;image/png;2022-08-06
5;Juguetería;../fake-data/blob/hipster.txt;Gabón Guadalupe;../fake-data/blob/hipster.png;image/png;2022-08-06
6;portals Sum;../fake-data/blob/hipster.txt;Ladrillo;../fake-data/blob/hipster.png;image/png;2022-08-06
7;didactica Costa;../fake-data/blob/hipster.txt;Innovador objetos invoice;../fake-data/blob/hipster.png;image/png;2022-08-06
8;scalable innovative;../fake-data/blob/hipster.txt;port Inversor metódica;../fake-data/blob/hipster.png;image/png;2022-08-06
9;Implementación connect;../fake-data/blob/hipster.txt;Queso;../fake-data/blob/hipster.png;image/png;2022-08-06
10;quantifying state Sabroso;../fake-data/blob/hipster.txt;circuit Cine;../fake-data/blob/hipster.png;image/png;2022-08-06
