id;nombre;descripcion;estado;fecha_registro
1;Desarrollador payment Rústico;../fake-data/blob/hipster.txt;6500;2022-08-06T09:47:58
2;Rampa tangible Madera;../fake-data/blob/hipster.txt;82270;2022-08-06T15:31:43
3;SMS transmitter Guapo;../fake-data/blob/hipster.txt;94317;2022-08-06T18:44:56
4;Borders;../fake-data/blob/hipster.txt;45899;2022-08-06T21:55:59
5;Cambridgeshire parsing Central;../fake-data/blob/hipster.txt;61825;2022-08-06T15:44:06
6;tiempo Bedfordshire Salchichas;../fake-data/blob/hipster.txt;63693;2022-08-07T00:33:34
7;Intranet grow;../fake-data/blob/hipster.txt;64241;2022-08-06T16:39:54
8;vertical;../fake-data/blob/hipster.txt;7531;2022-08-06T01:27:55
9;harness;../fake-data/blob/hipster.txt;88705;2022-08-06T21:44:27
10;Zloty Rústico;../fake-data/blob/hipster.txt;71476;2022-08-06T11:47:01
