id;nombre;nit;detalle;direccion;direccion_gps;logo;logo_content_type;estado;fecha_registro
1;microchip e-business;orquestar Toallas;../fake-data/blob/hipster.txt;Loan Cambridgeshire Estratega;dinámica initiatives;../fake-data/blob/hipster.png;image/png;88066;2022-08-06T04:17:41
2;Account Grupo;experiences Moda synergize;../fake-data/blob/hipster.txt;Grupo Municipio Hecho;Amarillo port;../fake-data/blob/hipster.png;image/png;99416;2022-08-06T06:19:59
3;Gorro Francia back;Principado 24/365;../fake-data/blob/hipster.txt;Avon;Account;../fake-data/blob/hipster.png;image/png;22093;2022-08-06T08:51:37
4;Director Cine;XML Papelería redefine;../fake-data/blob/hipster.txt;COM Diseñador;withdrawal Expandido technologies;../fake-data/blob/hipster.png;image/png;67331;2022-08-06T15:09:14
5;Bricolaje Tunez Jardines;generate Hormigon;../fake-data/blob/hipster.txt;Humano;Cambridgeshire;../fake-data/blob/hipster.png;image/png;72152;2022-08-06T22:14:21
6;utilize Jordanian;Marca Loan;../fake-data/blob/hipster.txt;Hogar deposit Sorprendente;Negro;../fake-data/blob/hipster.png;image/png;8720;2022-08-06T22:39:04
7;redundant navigate intangible;Obligatorio proactive Aragón;../fake-data/blob/hipster.txt;Violeta;Asistente Trinidad;../fake-data/blob/hipster.png;image/png;6405;2022-08-06T02:59:11
8;maximizada Pollo virtual;misión Zapatos program;../fake-data/blob/hipster.txt;Datos Equilibrado;Tácticas;../fake-data/blob/hipster.png;image/png;98075;2022-08-06T21:12:50
9;1080p driver calculate;programming Mercado;../fake-data/blob/hipster.txt;Oficial open-source;1080p;../fake-data/blob/hipster.png;image/png;46852;2022-08-06T16:57:40
10;extensible;PCI;../fake-data/blob/hipster.txt;estatica Extremadura Avenida;iterate Comunidad;../fake-data/blob/hipster.png;image/png;98641;2022-08-06T02:06:40
